timestamp,CAP,time
1473448328,85,1.32
1473448335,70,1.56
1473448341,95,1.11
1473448350,35,3.65
1473448356,90,1.12
1473448363,65,2.67
1473448394,10,25.41
1473448405,25,5.73
1473448414,30,4.14
1473448432,15,12.52
1473448438,80,1.29
1473448451,20,8.19
1473448458,55,2.14
1473448466,50,2.37
1473448472,100,0.97
1473448480,40,3.01
1473448488,45,3.23
1473448495,60,1.95
1473448502,75,1.52
1473448508,100,1.06
1473448516,35,3.49
1473448523,95,1.11
1473448530,50,2.33
1473448537,70,1.57
1473448545,40,2.95
1473448575,10,24.80
1473448581,60,1.86
1473448588,90,1.24
1473448594,80,1.35
1473448601,65,1.72
1473448608,55,2.14
1473448627,15,11.71
1473448636,30,4.26
1473448642,85,1.24
1473448649,75,1.47
1473448663,20,7.88
1473448671,45,2.75
1473448682,25,5.72
1473448689,65,1.74
1473448698,30,4.13
1473448708,25,5.31
1473448717,35,3.48
1473448723,100,0.98
1473448729,95,1.07
1473448737,40,2.76
1473448744,60,1.86
1473448750,85,1.26
1473448757,55,2.28
1473448764,90,1.28
1473448770,80,1.42
1473448782,20,6.72
1473448790,45,2.48
1473448796,70,1.55
1473448814,15,12.70
1473448820,75,1.44
1473448850,10,24.21
1473448858,50,2.47
1473448864,75,1.51
1473448871,95,1.13
1473448888,15,12.03
1473448895,55,2.06
1473448904,35,3.85
1473448917,20,8.03
1473448923,90,1.22
1473448930,65,1.69
1473448936,80,1.34
1473448944,45,2.71
1473448951,60,1.94
1473448957,85,1.22
1473448968,25,5.90
1473448977,40,2.97
1473448983,100,0.95
1473448990,50,2.31
1473448997,70,1.55
1473449006,30,4.33
1473449034,10,23.22
1473449042,50,2.37
1473449049,60,1.95
1473449057,35,3.53
1473449068,25,5.72
1473449087,15,13.53
1473449094,65,1.69
1473449100,75,1.52
1473449111,30,4.52
1473449117,95,1.10
1473449123,100,1.04
1473449130,85,1.26
1473449136,70,1.56
1473449149,20,7.99
1473449155,90,1.19
1473449162,80,1.42
1473449170,45,2.68
1473449197,10,22.52
1473449205,40,2.75
1473449212,55,2.06
1473449219,60,1.93
1473449230,25,5.54
1473449239,30,4.43
1473449247,55,2.14
1473449276,10,24.82
1473449284,50,2.26
1473449292,45,2.55
1473449299,70,1.63
1473449305,65,1.67
1473449312,75,1.62
1473449318,85,1.32
1473449325,95,1.15
1473449333,35,3.60
1473449339,100,0.99
1473449346,80,1.24
1473449359,20,8.09
1473449367,40,2.96
1473449374,90,1.18
1473449391,15,12.79
1473449401,30,4.65
1473449408,65,1.75
1473449414,80,1.31
1473449422,50,2.24
1473449430,40,3.15
1473449437,75,1.50
1473449443,100,0.98
1473449454,25,5.71
1473449460,70,1.63
1473449478,15,12.82
1473449484,90,1.20
1473449511,10,21.66
1473449520,35,3.65
1473449527,45,2.44
1473449534,55,1.95
1473449541,95,1.11
1473449553,20,7.45
1473449559,85,1.24
1473449566,60,1.84
1473449572,95,1.13
1473449586,20,8.54
1473449593,75,1.48
1473449611,15,12.91
1473449617,100,1.03
1473449623,65,1.75
1473449630,90,1.25
1473449638,60,1.87
1473449645,80,1.26
1473449651,70,1.61
1473449659,50,2.22
1473449667,40,3.02
1473449675,35,3.47
1473449682,85,1.29
1473449693,25,5.87
1473449702,30,4.23
1473449709,55,2.06
1473449717,45,2.61
1473449748,10,25.69
1473449758,25,5.36
1473449766,40,2.75
1473449772,100,1.04
1473449778,90,1.16
1473449791,20,7.51
1473449797,75,1.45
1473449804,95,1.25
1473449811,45,2.63
1473449818,70,1.63
1473449825,60,1.97
1473449832,50,2.35
1473449840,55,2.11
1473449869,10,24.52
1473449876,65,1.68
1473449885,35,3.61
1473449902,15,12.52
1473449909,80,1.36
1473449915,85,1.28
1473449925,30,4.80
1473449931,90,1.16
1473449940,35,3.62
1473449946,75,1.47
1473449953,80,1.49
1473449961,40,2.95
1473449978,15,12.40
1473449986,55,2.75
1473449992,95,1.05
1473449999,85,1.28
1473450012,20,8.52
1473450020,45,2.81
1473450029,50,2.44
1473450035,70,1.57
1473450042,100,1.01
1473450049,60,1.79
1473450058,30,4.03
1473450088,10,25.12
1473450099,25,6.25
1473450106,65,1.79
1473450112,90,1.10
1473450119,85,1.34
1473450136,15,12.23
1473450143,75,1.39
1473450150,50,2.34
1473450163,20,7.80
1473450170,60,1.89
1473450181,35,3.33
1473450211,10,24.74
1473450219,40,2.96
1473450225,80,1.37
1473450232,70,1.61
1473450238,95,1.10
1473450246,45,2.67
1473450253,55,2.05
1473450259,100,0.96
1473450266,65,1.73
1473450275,30,4.65
1473450287,25,6.54
1473450293,80,1.34
1473450301,55,2.24
1473450317,15,11.52
1473450344,10,21.94
1473450357,20,7.62
1473450363,95,1.10
1473450371,50,2.30
1473450377,90,1.20
1473450386,35,3.70
1473450394,45,2.65
1473450401,65,1.60
1473450407,100,0.94
1473450415,40,2.86
1473450425,25,5.54
1473450431,85,1.22
1473450441,30,4.45
1473450448,70,1.67
1473450455,60,1.82
1473450461,75,1.44
1473450468,60,1.86
1473450481,20,8.29
1473450492,25,5.34
1473450500,35,3.53
1473450507,80,1.38
1473450513,90,1.18
1473450521,40,2.74
1473450546,10,20.15
1473450556,30,4.45
1473450562,70,1.54
1473450569,55,2.14
1473450577,50,2.14
1473450594,15,12.69
1473450600,100,0.95
1473450607,65,1.78
1473450613,85,1.25
1473450620,95,1.14
1473450627,45,2.55
1473450634,75,1.45
1473450640,80,1.35
1473450647,70,1.60
1473450654,75,1.46
1473450660,90,1.24
1473450678,15,12.78
1473450691,20,7.74
1473450697,100,0.97
1473450704,55,2.17
1473450711,65,1.75
1473450740,10,24.20
1473450748,50,2.32
1473450757,60,1.93
1473450765,45,2.54
1473450773,40,3.13
1473450782,35,3.73
1473450788,95,1.15
1473450794,85,1.28
1473450805,25,5.87
1473450815,30,4.71
1473450827,25,5.89
1473450833,65,1.74
1473450840,85,1.35
1473450848,40,3.22
1473450876,10,23.15
1473450887,30,5.33
1473450893,70,1.65
1473450899,100,1.02
1473450917,15,12.11
1473450925,35,3.25
1473450932,50,2.43
1473450939,60,1.93
1473450946,80,1.43
1473450952,95,1.06
1473450959,55,2.23
1473450972,20,7.72
1473450979,75,1.48
1473450985,90,1.16
1473450993,45,2.59
1473451000,65,1.81
1473451006,95,1.08
1473451015,30,3.94
1473451023,40,2.86
1473451029,75,1.55
1473451058,10,23.68
1473451064,85,1.26
1473451072,45,2.73
1473451079,50,2.25
1473451092,20,7.71
1473451101,35,3.76
1473451108,60,1.94
1473451115,70,1.56
1473451125,25,5.61
1473451143,15,12.94
1473451151,55,2.15
1473451157,90,1.18
1473451163,100,0.99
1473451169,80,1.35
1473451178,35,3.62
1473451187,40,3.79
1473451193,90,1.20
1473451200,60,1.93
1473451229,10,23.70
1473451236,70,1.57
1473451243,55,1.88
1473451262,15,12.98
1473451270,45,2.53
1473451283,20,8.23
1473451290,65,1.76
1473451300,30,4.50
1473451306,80,1.31
1473451313,50,2.29
1473451320,100,1.05
1473451326,85,1.33
1473451333,95,1.17
1473451339,75,1.53
1473451350,25,5.68
1473451360,30,4.74
1473451367,65,1.66
1473451373,75,1.49
1473451379,85,1.20
1473451387,55,2.19
1473451393,95,1.12
1473451411,15,13.47
1473451417,100,1.02
1473451424,80,1.42
1473451431,50,2.22
1473451438,90,1.27
1473451445,45,2.64
1473451456,25,5.84
1473451463,60,1.98
1473451471,40,3.00
1473451478,70,1.65
1473451487,35,4.13
1473451516,10,23.42
1473451529,20,8.25
1473451539,30,4.63
1473451547,35,3.17
1473451553,90,1.19
1473451570,15,11.79
1473451578,45,2.74
1473451586,50,2.33
1473451592,75,1.51
1473451599,65,1.65
1473451606,60,1.82
1473451612,70,1.59
1473451619,85,1.24
1473451646,10,22.41
1473451660,20,8.45
1473451671,25,5.84
1473451677,95,1.16
1473451683,80,1.31
1473451691,40,3.22
1473451697,100,0.99
1473451705,55,2.07
1473451712,50,2.34
1473451720,40,2.95
1473451734,20,8.41
1473451740,85,1.26
1473451746,80,1.36
1473451753,90,1.21
1473451764,25,6.16
1473451770,95,1.11
1473451777,65,1.59
1473451783,100,1.02
1473451789,70,1.62
1473451797,75,1.54
1473451807,30,5.01
1473451814,55,2.13
1473451831,15,11.31
1473451838,60,1.88
1473451847,35,3.90
1473451874,10,22.31
1473451883,45,2.60
1473451891,40,3.24
1473451901,30,4.64
1473451907,80,1.45
1473451915,45,2.81
1473451921,75,1.47
1473451928,85,1.35
1473451934,90,1.17
1473451941,65,1.67
1473451948,60,2.02
1473451955,50,2.35
1473451973,15,12.42
1473451979,70,1.58
1473452006,10,21.08
1473452018,20,7.64
1473452030,25,5.84
1473452036,100,0.98
1473452042,95,1.17
1473452049,55,2.15
1473452058,35,3.85
1473452066,45,2.81
1473452073,50,2.36
1473452080,80,1.43
1473452088,90,2.71
1473452095,60,1.84
1473452104,35,3.91
1473452110,85,1.32
1473452118,40,3.07
1473452128,30,4.92
1473452135,55,2.16
1473452148,20,7.83
1473452178,10,24.54
1473452185,70,1.59
1473452191,100,0.93
1473452197,65,1.69
1473452208,25,6.02
1473452215,95,1.11
1473452232,15,12.75
1473452239,75,1.50
1473452251,20,7.00
1473452259,45,2.74
1473452266,50,2.34
1473452273,85,1.23
1473452282,35,3.66
1473452289,60,1.85
1473452307,15,13.10
1473452333,10,21.25
1473452339,90,1.09
1473452345,95,1.11
1473452356,25,5.79
1473452363,65,1.76
1473452371,40,3.03
1473452378,80,1.33
1473452388,30,4.92
1473452394,70,1.57
1473452401,75,1.44
1473452408,55,2.13
1473452414,100,0.98
1473452420,75,1.37
1473452431,25,5.92
1473452437,100,0.96
1473452445,55,2.24
1473452462,15,12.70
1473452475,20,7.83
1473452483,95,1.02
1473452489,90,1.15
1473452496,85,1.27
1473452506,30,4.69
1473452512,80,1.38
1473452520,45,2.79
1473452527,65,1.72
1473452536,35,3.85
1473452542,60,1.84
1473452571,10,23.59
1473452579,50,2.47
1473452587,40,2.92
1473452593,70,1.56
1473452612,15,13.27
1473452623,25,6.34
1473452629,80,1.35
1473452638,40,3.09
1473452644,85,1.15
1473452651,60,1.88
1473452677,10,21.58
1473452685,55,2.14
1473452692,50,2.32
1473452701,35,3.92
1473452707,90,1.21
1473452713,100,0.95
1473452720,95,1.12
1473452727,70,1.58
1473452734,65,1.79
1473452742,45,2.67
1473452751,30,4.71
1473452758,75,1.53
1473452771,20,7.54
1473452782,25,6.24
1473452792,30,4.64
1473452798,70,1.54
1473452805,85,1.32
1473452812,60,1.76
1473452818,90,1.15
1473452826,40,3.17
1473452833,80,1.53
1473452839,100,0.94
1473452845,95,1.09
1473452863,15,12.04
1473452872,35,3.75
1473452878,65,1.83
1473452906,10,22.71
1473452914,50,2.34
1473452920,75,1.42
1473452933,20,7.34
1473452940,55,2.23
1473452948,45,2.80
1473452958,25,5.42
1473452984,10,20.71
1473452992,45,2.57
1473452999,50,2.53
1473453006,75,1.54
1473453013,70,1.62
1473453019,95,1.08
1473453026,65,1.72
1473453032,90,1.10
1473453038,100,0.89
1473453044,85,1.12
1473453051,60,2.02
1473453060,35,3.54
1473453067,55,2.17
1473453084,15,11.58
1473453092,40,3.05
1473453101,30,4.73
1473453108,80,1.33
1473453121,20,8.31
1473453140,15,13.62
1473453147,80,1.35
1473453155,50,2.48
1473453162,65,1.65
1473453169,55,2.02
1473453177,40,3.34
1473453187,30,4.43
1473453194,45,2.66
1473453207,20,7.40
1473453213,70,1.48
1473453237,10,18.88
1473453244,85,1.28
1473453250,100,1.04
1473453259,35,3.96
1473453266,60,1.85
1473453272,95,1.09
1473453278,75,1.41
1473453284,90,1.12
1473453295,25,5.70
1473453303,55,1.98
1473453312,35,3.53
1473453318,70,1.57
1473453324,95,1.13
1473453334,30,4.67
1473453341,65,1.78
1473453348,75,1.39
1473453361,20,8.62
1473453372,25,5.52
1473453400,10,23.12
1473453408,40,3.04
1473453415,80,1.37
1473453421,85,1.28
1473453427,90,1.12
1473453435,45,2.76
1473453452,15,11.93
1473453459,60,1.94
1473453466,50,2.23
1473453472,100,0.97
1473453479,55,2.09
1473453486,60,1.95
1473453499,20,7.07
1473453508,35,4.04
1473453517,30,4.54
1473453524,80,1.36
1473453530,95,1.08
1473453538,45,2.66
1473453564,10,21.61
1473453570,100,1.03
1473453590,15,14.18
1473453597,50,2.37
1473453603,90,1.15
1473453610,75,1.44
1473453617,65,1.79
1473453627,25,5.70
1473453634,85,1.33
1473453642,40,3.14
1473453649,70,1.69
